Time [h]	Conc. [gCOD m-3]
10.77980733	330.8547946
10.79409808	315.9871567
10.82851763	321.9463088
10.84409316	330.893006
10.86816355	358.1692277
10.87984891	312.0207756
10.8818429	342.0150446
10.90505128	332.5925407
10.91692585	320.1593993
10.96046562	307.8464746
10.9709785	280.1746455
11.00119896	294.27905
