Time [d]	Xi
92.54214872	2.756575136
93.35155527	3.338199513
94.47573103	4.250222068
95.50997273	3.753215155
95.50997273	3.25686479
95.94165622	3.122141119
97.49432427	3.368943904
98.45592089	3.211509737
99.01740111	2.953236544
100.3226603	3.641424532
100.7887111	3.805624821
102.4373261	2.927880957
103.1453745	3.976572819
104.3749016	3.842355628
105.4216529	4.487788815
106.2095564	4.272525945
107.0986189	3.15894533
108.068038	3.272980061
109.2698841	3.410497046
110.0073434	4.279504113
111.2784114	4.399258487
112.2377081	2.949600278
113.2439973	3.799209011
114.2162574	4.858842158
115.2274079	3.991488882
116.2004276	3.555265902
117.1391144	3.728922875
118.2017563	2.927830525
119.5763274	3.508585332
120.995902	3.281409588
122.1304548	3.427567296
122.6636353	2.409354983
124.0940151	2.75854478
125.1190328	2.9526305
126.1475095	2.390221295
127.485883	3.673921087
128.4950191	3.513827616
129.5476481	3.83905018
130.4967531	4.944583791
130.516806	4.255474453
132.4728718	4.359402155
133.3722124	4.143204727
134.4514211	3.883211679
135.4406958	3.599582899
136.4063036	2.953332236
137.4086647	2.346889121
138.1387176	1.314953076
138.738278	1.653574325
140.2971351	1.807922815
140.7719869	1.235537018
142.063113	1.680791228
143.3058382	1.54506483
144.3032887	1.26143605
145.2516843	2.085105487
146.2327831	2.665971498
146.9122849	2.446246733
148.2599455	1.974786048
149.2006071	1.566909976
150.2552884	2.646633172
150.2798158	2.492179353
152.0457938	2.803488482
152.7512038	2.660298922
153.487464	3.164948055
155.1439638	3.061701177
156.2154639	2.68960723
157.0940505	3.253834568
158.1594232	4.161689081
159.0933538	5.135905457
160.6671999	4.741188738
162.5442522	4.853964944
163.5001228	5.029544665
165.5272852	4.160771825
166.2559594	3.694125826
167.3625541	3.954740867
168.4315072	3.814930676
169.4795225	3.362267377
170.0113488	2.93857027
171.4592872	3.059900359
173.292355	3.620437956
174.1279827	4.013208203
175.4140192	4.423723542
175.5153134	4.134538292
177.1925836	3.68009211
177.9695139	4.077112218
179.2799045	3.428064143
180.2970382	3.773820664
181.0127372	4.143204727
182.2987722	4.011291792
182.3298937	2.943191712
183.2365613	3.341380436
184.394803	3.910786699
184.6277091	3.745942622
186.1335281	4.101842197
187.0628468	3.810513898
188.2344202	4.400961963
189.153206	3.964020329
190.0306708	2.843239486
190.300473	3.1355347
192.1417545	2.539084939
193.1783629	3.079596802
193.8143252	3.974378072
195.0669782	4.292897694
196.9981938	3.903737446
197.6300989	2.877004817
199.248912	3.012234967
200.5140655	3.142518953
201.5422306	2.882632372
202.4652381	3.773118929
203.3409118	3.339589851
203.4308459	3.989572471
205.049659	3.54049357
206.37256	3.337683743
207.7476808	3.456080242
208.7969115	3.537867377
210.4457026	4.036843935
211.4015732	3.621530364
212.3343179	3.189896883
212.6378454	2.618700035
214.2229332	2.541883907
214.2513334	2.904194794
216.3659334	2.693659069
217.3438882	2.516491465
218.0373778	2.263349035
219.1416345	1.98053528
219.9658654	2.134167536
220.5510207	2.408127153
222.2270646	2.299617657
222.7486822	2.079805353
223.8278909	1.852902329
225.1462756	1.974786048
226.1368296	2.407222436
228.1627126	2.583246437
228.879284	3.767701571
230.1027188	4.184060778
231.7600751	3.857212374
232.245719	3.691762252
234.548031	3.90684741
234.5691919	3.599582899
236.5265803	4.078863013
237.515855	3.883211679
238.4322101	3.297109414
239.0061908	3.052584537
240.1779032	2.923600973
241.3830196	2.591125014
242.457367	2.736878693
243.406536	2.996215193
243.527601	2.45143178
245.2501842	2.323253389
245.9143127	2.54233844
246.9229577	2.056169621
248.3702043	2.172045311
248.5327774	2.591125014
250.3764257	2.500521376
250.8081092	2.862620786
252.2869168	3.211509737
253.3033706	3.40870646
253.5600914	2.805422315
254.1986233	2.902328815
256.5392755	2.88864497
258.1287417	3.043355347
260.1584843	2.905359037
261.0704031	3.538344867
261.168513	2.713242961
263.2035923	3.668801827
264.136337	3.489282818
265.0979397	3.991996649
266.7669083	4.33229058
268.1141897	4.790157126
269.0500071	5.13554734
269.8599976	4.422612841
271.6008641	4.575213378
271.7333985	4.304300898
273.4894794	4.923183872
274.0920376	4.47765033
274.1447132	4.176407303
275.4680287	4.312130692
276.5472374	4.683350713
277.356644	4.509558568
279.0091823	4.150590893
279.8388241	4.05220716
282.4079404	3.967906384
282.8040785	4.559081053
285.3607754	4.639555092
286.0417047	3.950179585
287.3802039	3.81409507
287.5821467	4.504831422
288.9081745	4.774804001
289.8075151	4.417641834
290.7976982	4.855499731
292.195764	4.962576758
293.1346756	4.486868266
294.1837801	4.336644531
295.8451936	3.68230796
297.1986674	3.81399275
298.0333022	3.583467627
299.1595771	3.449783464
299.2106208	4.059002433
301.1867395	4.400961963
301.1973459	4.092710209
303.038895	4.206126878
303.6623568	3.918665276
305.0368895	4.033649917
306.3097907	4.798357664
307.2661431	4.600724962
309.3089311	4.71130642
310.4629589	4.554744526
311.351719	4.982273201
312.0647676	4.826108546
313.2403343	4.680073489
314.319543	4.497740702
315.1089642	4.902612032
315.6145935	4.601737921
316.3062682	4.696495718
318.0582304	4.678385223
318.320324	4.836406972
319.8167625	4.543534932
320.7648174	4.699957517
323.1305115	4.620308853
323.6774187	4.339132503
325.2962318	4.467263048
325.5163336	4.13532615
327.1235838	4.256318586
327.8867385	3.972689806
328.8438939	4.082145754
330.7284212	4.142130376
331.2755725	4.235020454
332.7938925	4.421235571
333.3945574	4.259019812
335.5603331	4.345182798
337.0214696	4.184060778
337.3966231	4.465438536
339.828113	4.426833507
340.6702229	4.298587778
343.2654629	4.175281792
344.2675853	4.370580466
346.2405138	4.254735836
347.5651676	4.063105859
348.96664	4.159946704
350.3936819	3.946472019
352.2188144	4.163364616
354.0524112	3.982481752
355.6378202	4.173593525
357.3493452	4.054730434
359.3339072	4.250809506
